epsilon_cost,cost,env
409101176.5,409101176.5,7227776500.0
592441388.8333334,592441388.8333334,5970033419.411078
775781601.1666667,775781601.1666667,5074525216.653113
959121813.5,959121813.5,4341299453.139189
1142462025.8333335,1142462025.8333335,3616728020.073184
1325802238.1666667,1325802238.1666667,3027179224.9784093
1509142450.5,1509142450.5,2506442678.05343
1692482662.8333335,1692482662.8333335,2105234011.3696957
1875822875.1666667,1875822875.1666667,1704025344.6859617
2059163087.5,2056663087.5,1308287500.0
